Swarm number,Date_M,Time_M,Lat_M,Lon_M,Lat_S,Lat_E,Lon_S,Lon_E,Depth,Length,Thickness,Sv_mean120,TS,ind m-3,surfpar,BDepth,fluo,ADCP w in swarm,ADCP w above midpoint,mask above swarm,ADCP w below swarm,mask below swarm,w in minus out,mid-depth ADCP bin,,,,,,
12,1/9/2003,3:46:54,-56.831,-56.08026233,-56.83079,-56.83121,-56.08034883,-56.0802075,25.727094,48.280467,1.648357,-65.987845,-74.63720476,7.327165069,-1.1111114,-3578,NaN,8.654,NaN,1,2.918,0,5.736,2,,,,,,
13,1/9/2003,3:47:11,-56.832,-56.07993866,-56.83142,-56.83232,-56.08009233,-56.07976838,27.070316,103.480454,2.391851,-65.643195,-74.63720476,7.932333693,-1.1111114,-3578,NaN,-1.811,0.805,0,NaN,1,-2.617,2,,,,,,
14,1/9/2003,3:48:17,-56.835,-56.07850098,-56.83521,-56.83537,-56.07851585,-56.0784535,29.857497,18.422729,1.27661,-66.392705,-74.63720476,6.674980104,-1.1111114,-3578,NaN,-1.811,0.805,0,-1.107,0,-1.661,2,,,,,,
15,1/9/2003,3:48:30,-56.836,-56.07821128,-56.83568,-56.83620,-56.07831099,-56.078087,28.440598,60.24013,8.897428,-67.371536,-74.63720476,5.328032626,-1.1111114,-3578,NaN,-1.811,0.805,0,-1.107,0,-1.661,2,,,,,,
16,1/9/2003,3:55:01,-56.856,-56.07119452,-56.85621,-56.85632,-56.07120839,-56.07117807,24.566295,13.009011,3.87884,-66.561739,-74.63720476,6.420170704,-1.165981067,-3548,NaN,-3.623,-1.711,0,NaN,1,-1.912,2,,,,,,
17,1/9/2003,3:55:02,-56.856,-56.07117807,-56.85627,-56.85641,-56.07119452,-56.07114277,33.632796,16.155153,2.763599,-67.001199,-74.63720476,5.80230529,-1.165981067,-3548,NaN,-1.509,NaN,1,-1.107,0,-0.403,3,,,,,,
18,1/9/2003,3:55:18,-56.857,-56.07089828,-56.85704,-56.85724,-56.07093093,-56.07087235,25.461868,24.133102,2.763599,-65.959036,-74.63720476,7.375931513,-1.165981067,-3548,NaN,-3.623,-1.711,0,NaN,1,-1.912,2,,,,,,
19,1/9/2003,3:55:25,-56.857,-56.07077206,-56.85745,-56.85755,-56.07079558,-56.07074823,25.223048,13.240161,1.462483,-66.412183,-74.63720476,6.645110017,-1.165981067,-3548,NaN,-3.623,-1.711,0,NaN,1,-1.912,2,,,,,,
20,1/9/2003,3:55:45,-56.859,-56.07037935,-56.85844,-56.85870,-56.07043593,-56.07032377,26.082916,31.207985,1.462483,-66.905162,-74.63720476,5.932042796,-1.165981067,-3548,NaN,-3.623,-1.711,0,NaN,1,-1.912,2,,,,,,
21,1/9/2003,3:55:50,-56.859,-56.07029424,-56.85875,-56.85892,-56.07030931,-56.07026642,30.246705,18.801202,2.577725,-68.627819,-74.63720476,3.989684703,-1.165981067,-3548,NaN,-1.509,-1.711,0,-1.107,0,-0.101,3,,,,,,
22,1/9/2003,3:56:01,-56.859,-56.070105,-56.85934,-56.85950,-56.07011704,-56.07007167,32.932048,17.938668,5.365829,-67.413065,-74.63720476,5.277326639,-1.165981067,-3548,NaN,-1.509,NaN,1,-1.107,0,-0.403,3,,,,,,
23,1/9/2003,3:57:01,-56.863,-56.06903407,-56.86241,-56.86278,-56.06908146,-56.06897307,30.805308,42.825544,3.321219,-67.280068,-74.63720476,5.44143788,-1.179698467,-3548,NaN,1.811,2.013,0,0.201,0,0.704,3,,,,,,
24,1/9/2003,3:59:38,-56.871,-56.06621511,-56.87062,-56.87103,-56.06628325,-56.06612182,95.573035,35.638532,3.321219,-67.655146,-74.63720476,4.991210377,-1.165981,-3548,NaN,9.661,NaN,1,8.554,0,1.107,11,,,,,,
25,1/9/2003,4:00:21,-56.873,-56.06535731,-56.87302,-56.87312,-56.0653895,-56.0653325,84.427509,18.263048,3.135346,-66.500387,-74.63720476,6.511510955,-1.165981,-3548,NaN,10.063,9.761,0,NaN,1,0.302,9,,,,,,
26,1/9/2003,4:00:52,-56.875,-56.06481621,-56.87460,-56.87475,-56.06483502,-56.06479421,30.463068,17.066051,2.020104,-65.682037,-74.63720476,7.861705581,-1.165981,-3335,NaN,-0.101,2.315,0,4.629,0,-3.572,3,,,,,,
27,1/9/2003,4:02:36,-56.880,-56.06306716,-56.87987,-56.88013,-56.06309388,-56.06301848,36.984975,28.677894,4.622335,-66.761282,-74.63720476,6.131860634,-1.1522636,-3335,NaN,2.516,0.805,0,2.013,0,1.107,3,,,,,,
28,1/9/2003,4:04:15,-56.885,-56.06135672,-56.88497,-56.88517,-56.06139609,-56.06132032,36.419105,21.760968,2.949472,-65.886408,-74.63720476,7.500317974,-1.165981,-3335,NaN,0.201,-1.208,0,-1.208,0,1.409,3,,,,,,
29,1/9/2003,4:13:39,-56.915,-56.05198493,-56.91476,-56.91529,-56.05203596,-56.05188697,108.587361,46.102981,1.648357,-66.520564,-74.63720476,6.481329123,-1.1385462,-3160,NaN,7.749,7.045,0,7.145,0,0.654,12,,,,,,
30,1/9/2003,4:15:09,-56.920,-56.05049259,-56.91976,-56.91987,-56.05049963,-56.05048427,95.897504,14.282163,2.949472,-67.278806,-74.63720476,5.443019316,-1.1385462,-3160,NaN,2.919,4.629,0,3.724,0,-1.258,11,,,,,,
31,1/9/2003,4:16:25,-56.924,-56.04929418,-56.92376,-56.92397,-56.04932887,-56.04927362,135.422199,29.769999,1.648357,-66.717821,-74.63720476,6.193531854,-1.1248288,-3160,NaN,4.831,3.522,0,4.428,0,0.855,16,,,,,,
32,1/9/2003,4:16:57,-56.926,-56.04879315,-56.92549,-56.92559,-56.04881445,-56.04877378,79.978757,17.701054,1.27661,-66.555519,-74.63720476,6.429372311,-1.1248288,-3160,NaN,2.214,0.805,0,4.629,0,-0.503,9,,,,,,
33,1/9/2003,4:17:04,-56.926,-56.04868579,-56.92585,-56.92601,-56.04870729,-56.04864228,25.511152,19.217306,2.391851,-68.413333,-74.63720476,4.19167088,-1.1248288,-3160,NaN,2.918,4.025,0,3.422,0,-0.805,2,,,,,,
38,1/9/2003,4:23:54,-56.947,-56.04193145,-56.94738,-56.94759,-56.04196713,-56.0419046,39.240453,22.13819,4.064714,-64.614437,-74.63720476,10.05256235,-1.1522636,-3391.5,NaN,4.529,3.522,0,NaN,1,1.006,4,,,,,,
39,1/9/2003,4:24:01,-56.948,-56.04181076,-56.94654,-56.94921,-56.04225472,-56.04134049,60.242942,296.877938,19.120476,-64.630288,-74.63720476,10.01593911,-1.1522636,-3391.5,NaN,5.837,NaN,1,7.447,0,-1.610,6,,,,,,
45,1/9/2003,4:24:43,-56.950,-56.04107215,-56.94985,-56.95032,-56.04114632,-56.04099639,63.863984,46.914047,2.763599,-64.805124,-74.63720476,9.620731085,-1.1522636,-3391.5,NaN,4.328,NaN,1,7.447,0,-3.120,7,,,,,,
