Swarm number,Date_M,Time_M,Lat_M,Lon_M,Lat_S,Lat_E,Lon_S,Lon_E,Depth,Length,Thickness,Sv_mean120,TS,ind m-3,surfpar,BDepth,fluo,ADCP w in swarm,ADCP w above midpoint,mask above swarm,ADCP w below swarm,mask below swarm,w in minus out,mid-depth ADCP bin,,,,,,
2304,1/16/2003,21:25:06,-59.907,-48.83279732,-59.90681,-59.90704,-48.83282173,-48.832759,30.934679,25.475684,2.763599,-66.557538,-74.56767001,6.324310746,651.04252,-4315,NaN,0.507,-3.243,0,NaN,1,3.750,3,,,,,,
2305,1/16/2003,21:25:29,-59.908,-48.83242974,-59.90310,-59.91289,-48.83412378,-48.83069044,42.196245,1102.845346,17.633487,-63.280166,-74.56767001,13.45087079,651.04252,-4315,NaN,2.939,NaN,1,6.385,0,-3.446,4,,,,,,
2313,1/16/2003,21:29:26,-59.919,-48.82837447,-59.91876,-59.91913,-48.82844659,-48.82830123,19.15681,43.723037,4.622335,-68.156544,-74.56767001,4.376355576,623.0727067,-4315,NaN,-4.865,NaN,NaN,-5.068,0,0.203,1,,,,,,
2314,1/16/2003,21:29:32,-59.919,-48.828259,-59.91918,-59.91932,-48.82828057,-48.82821849,20.789248,17.275514,1.83423,-68.094916,-74.56767001,4.438900405,623.0727067,-4315,NaN,-4.865,NaN,NaN,-5.068,0,0.203,1,,,,,,
2315,1/16/2003,21:36:20,-59.938,-48.82044408,-59.93757,-59.93877,-48.82068453,-48.8202036,16.268003,138.901442,4.622335,-66.113095,-74.56767001,7.005796224,572.9629733,-4240,NaN,-5.676,NaN,NaN,-4.561,0,-1.115,1,,,,,,
2316,1/16/2003,21:36:21,-59.938,-48.82042071,-59.93808,-59.93836,-48.82048635,-48.82036124,54.817724,27.568527,2.205978,-67.448568,-74.56767001,5.151221218,572.9629733,-4240,NaN,3.041,NaN,1,5.676,0,-2.635,6,,,,,,
2317,1/16/2003,21:36:28,-59.939,-48.82030358,-59.93836,-59.93873,-48.82036124,-48.82022273,20.910781,43.067526,2.020104,-66.562351,-74.56767001,6.317305811,572.9629733,-4240,NaN,-5.676,NaN,NaN,-4.561,0,-1.115,1,,,,,,
2318,1/16/2003,21:36:30,-59.939,-48.82026436,-59.93850,-59.93877,-48.82031912,-48.8202036,54.943638,27.032549,2.020104,-68.03632,-74.56767001,4.499196912,572.9629733,-4240,NaN,3.041,NaN,1,5.676,0,-2.635,6,,,,,,
2319,1/16/2003,21:36:57,-59.940,-48.81975865,-59.93905,-59.94075,-48.82009048,-48.81938608,52.267789,189.483344,7.968059,-66.124497,-74.56767001,6.987427277,567.8600933,-4240,NaN,3.750,NaN,1,5.676,0,-1.926,5,,,,,,
2320,1/16/2003,21:36:58,-59.940,-48.81973657,-59.93970,-59.94020,-48.81984066,-48.81962749,14.980813,60.229914,4.436461,-66.33854,-74.56767001,6.651399002,567.8600933,-4240,NaN,-5.676,NaN,NaN,-4.561,0,-1.115,1,,,,,,
2321,1/16/2003,21:37:17,-59.941,-48.81936821,-59.94062,-59.94099,-48.81945074,-48.81929995,17.345387,44.036787,3.507093,-66.286956,-74.56767001,6.730873072,567.8600933,-4240,NaN,-5.676,NaN,NaN,-4.561,0,-1.115,1,,,,,,
2322,1/16/2003,21:38:01,-59.943,-48.81850817,-59.94071,-59.94494,-48.81940425,-48.81760248,50.238046,477.301113,11.313784,-65.35762,-74.56767001,8.336907845,559.6845067,-4240,NaN,3.750,-3.142,0,5.676,0,2.483,5,,,,,,
2323,1/16/2003,21:38:45,-59.945,-48.81765558,-59.94481,-59.94494,-48.81767604,-48.81760248,18.553565,17.589025,1.462483,-67.627711,-74.56767001,4.943060215,556.3374533,-4240,NaN,-5.575,NaN,NaN,-4.764,0,-0.811,1,,,,,,
2324,1/16/2003,21:40:48,-59.951,-48.81532979,-59.95037,-59.95064,-48.81540026,-48.81526789,28.159851,31.481915,3.321219,-67.67853,-74.56767001,4.885556059,547.0919133,-4240,NaN,-6.183,NaN,1,-1.115,0,-5.068,2,,,,,,
2325,1/16/2003,21:40:53,-59.951,-48.81523934,-59.95064,-59.95082,-48.81526789,-48.81520372,137.654895,17.762845,1.27661,-66.501587,-74.56767001,6.406315173,547.0919133,-4240,NaN,5.980,7.805,0,6.284,0,-1.064,16,,,,,,
2326,1/16/2003,21:40:54,-59.951,-48.81522269,-59.95068,-59.95092,-48.81525369,-48.81516155,161.146608,22.019748,4.436461,-65.747907,-74.56767001,7.620374252,547.0919133,-4240,NaN,7.500,8.210,0,6.081,0,0.355,19,,,,,,
2328,1/16/2003,21:41:38,-59.953,-48.81438581,-59.95270,-59.95288,-48.81442095,-48.81434398,20.387581,22.275286,6.666944,-69.546384,-74.56767001,3.177814929,541.4129,-4240,NaN,-6.892,NaN,NaN,-1.115,0,-5.777,1,,,,,,
2330,1/16/2003,21:41:56,-59.954,-48.81404366,-59.95343,-59.95381,-48.81412051,-48.81397337,23.639743,43.636968,3.87884,-68.747695,-74.56767001,3.81942073,541.4129,-4240,NaN,-6.183,NaN,NaN,-1.115,0,-5.068,2,,,,,,
2331,1/16/2003,21:42:37,-59.956,-48.81331633,-59.95537,-59.95564,-48.81336697,-48.81327084,15.659851,33.69176,2.205978,-66.79948,-74.56767001,5.981622495,534.60906,-4240,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2332,1/16/2003,21:42:49,-59.956,-48.81310985,-59.95597,-59.95615,-48.8131435,-48.81307956,15.905012,23.030947,2.020104,-66.456176,-74.56767001,6.473652765,534.60906,-4210.5,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2333,1/16/2003,21:43:05,-59.957,-48.81283201,-59.95634,-59.95726,-48.81300487,-48.81264359,14.381775,106.743827,4.064714,-66.143428,-74.56767001,6.957035203,534.60906,-4210.5,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2334,1/16/2003,21:43:17,-59.957,-48.81261172,-59.95703,-59.95772,-48.81273794,-48.81247199,19.17065,79.716994,4.808208,-67.311024,-74.56767001,5.316974787,534.60906,-4210.5,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2336,1/16/2003,21:43:40,-59.958,-48.81224947,-59.95808,-59.95872,-48.81234977,-48.81215601,14.743974,74.708751,2.020104,-67.123563,-74.56767001,5.55150456,528.31276,-4210.5,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2337,1/16/2003,21:43:57,-59.959,-48.81202094,-59.95909,-59.95927,-48.81204861,-48.81199441,14.842007,22.708602,1.462483,-67.982342,-74.56767001,4.555465909,528.31276,-4210.5,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2338,1/16/2003,21:44:10,-59.960,-48.81184374,-59.95969,-59.95987,-48.81186692,-48.81182542,20.009575,21.813683,2.577725,-66.785315,-74.56767001,6.001164077,528.31276,-4210.5,NaN,-8.818,NaN,NaN,-4.054,0,-4.764,1,,,,,,
2340,1/16/2003,21:55:35,-59.991,-48.8017698,-59.99085,-59.99200,-48.80193075,-48.80155679,103.884938,115.666567,6.109323,-64.402984,-74.56767001,10.38648506,484.1563867,-4264,NaN,9.325,8.007,0,7.500,0,1.571,12,,,,,,
2342,1/16/2003,22:01:49,-60.009,-48.79547118,-60.00855,-60.00878,-48.79551664,-48.79541748,23.361989,26.857505,2.391851,-66.440428,-74.56767001,6.49716956,461.0425333,-4264,NaN,-1.318,NaN,1,2.230,0,-3.547,2,,,,,,
2343,1/16/2003,22:10:19,-60.032,-48.78671295,-60.03179,-60.03230,-48.78680443,-48.78660884,37.584882,55.646947,3.87884,-66.878323,-74.56767001,5.874010262,424.4444467,-4139,NaN,-0.608,0.304,0,1.622,0,-1.571,3,,,,,,
2344,1/16/2003,22:10:26,-60.032,-48.78659208,-60.03230,-60.03244,-48.78660884,-48.7865564,14.786734,18.117763,1.27661,-64.548426,-74.56767001,10.04440929,424.4444467,-4139,NaN,-5.372,NaN,NaN,0.304,0,-5.676,1,,,,,,
2345,1/16/2003,22:10:37,-60.033,-48.78640201,-60.03257,-60.03313,-48.78649342,-48.78629912,37.152209,61.130965,12.986647,-66.423543,-74.56767001,6.522479171,417.03704,-4139,NaN,-0.608,0.304,0,1.622,0,-1.571,3,,,,,,
2346,1/16/2003,22:10:50,-60.033,-48.78617329,-60.03331,-60.03358,-48.78622224,-48.7861309,36.851655,29.762164,5.92345,-66.085272,-74.56767001,7.050822812,417.03704,-4139,NaN,-0.608,0.304,0,1.622,0,-1.571,3,,,,,,
2347,1/16/2003,22:11:10,-60.034,-48.78585656,-60.03419,-60.03456,-48.78592006,-48.78579417,32.985927,41.018565,3.692967,-66.617093,-74.56767001,6.238177112,417.03704,-4139,NaN,-0.608,0.304,0,NaN,1,-0.912,3,,,,,,
2348,1/16/2003,22:11:21,-60.035,-48.7856844,-60.03442,-60.03534,-48.78583784,-48.78553285,38.321308,101.91591,6.852818,-65.967254,-74.56767001,7.245053569,417.03704,-4139,NaN,0.000,0.304,0,1.622,0,-0.963,4,,,,,,
2349,1/16/2003,22:12:37,-60.038,-48.784446,-60.03768,-60.03906,-48.78472221,-48.78419421,41.995363,153.245099,12.243152,-61.775856,-74.56767001,19.01872509,404.9794267,-4139,NaN,3.142,0.000,0,3.446,0,1.419,4,,,,,,
2350,1/16/2003,22:13:52,-60.042,-48.78321207,-60.03920,-60.04445,-48.78413935,-48.78232884,39.916595,589.442986,17.633487,-64.538314,-74.56767001,10.06782368,400.1646133,-4139,NaN,3.142,0.000,0,3.446,0,1.419,4,,,,,,
2351,1/16/2003,22:15:32,-60.046,-48.78165639,-60.04454,-60.04839,-48.78228859,-48.78098599,36.460556,432.982638,9.826796,-65.181789,-74.56767001,8.681366695,393.1687267,-4014,NaN,0.608,2.230,0,NaN,1,-1.622,3,,,,,,
2353,1/16/2003,22:17:24,-60.052,-48.77972613,-60.05154,-60.05173,-48.77977022,-48.77968575,38.666357,18.532527,2.763599,-64.512769,-74.56767001,10.12721665,386.5706467,-4014,NaN,1.926,-4.865,0,3.446,0,2.635,4,,,,,,
2354,1/16/2003,22:17:52,-60.053,-48.77920982,-60.05289,-60.05303,-48.77922895,-48.779176,38.310615,14.227834,1.83423,-67.482839,-74.56767001,5.11073192,379.3415667,-4014,NaN,1.926,-4.865,0,3.446,0,2.635,4,,,,,,
2355,1/16/2003,22:17:58,-60.053,-48.77911617,-60.05312,-60.05331,-48.77914888,-48.77907547,14.817753,23.273407,3.321219,-65.670347,-74.56767001,7.757687854,379.3415667,-4014,NaN,-9.933,NaN,NaN,-4.865,0,-5.068,1,,,,,,
2356,1/16/2003,22:18:15,-60.054,-48.77881783,-60.05396,-60.05410,-48.77883323,-48.77878551,14.210037,18.551818,1.83423,-66.357542,-74.56767001,6.62236023,379.3415667,-4014,NaN,-9.933,NaN,NaN,-4.865,0,-5.068,1,,,,,,
2361,1/16/2003,22:20:09,-60.059,-48.77672766,-60.05913,-60.05950,-48.77680047,-48.77665834,32.311029,42.043385,2.949472,-66.605553,-74.56767001,6.254775134,374.0878,-4014,NaN,1.622,NaN,1,3.548,0,-1.926,3,,,,,,
2362,1/16/2003,22:20:26,-60.060,-48.77641849,-60.05997,-60.06030,-48.77647434,-48.77635025,27.278673,37.925493,4.064714,-66.537824,-74.56767001,6.353084049,374.0878,-4014,NaN,-4.460,-10.643,0,0.101,0,0.811,2,,,,,,
2365,1/16/2003,22:27:57,-60.081,-48.76754298,-60.08064,-60.08106,-48.76763451,-48.76747129,23.553903,47.989662,2.949472,-65.168829,-74.56767001,8.707311891,326.6118067,-3316,NaN,-3.446,NaN,1,1.014,0,-4.460,2,,,,,,
2371,1/16/2003,22:30:04,-60.087,-48.76500713,-60.08632,-60.08711,-48.76517483,-48.76482008,29.078205,89.076519,5.179955,-65.884988,-74.56767001,7.383600676,314.5816267,-3316,NaN,-4.054,NaN,1,3.750,0,-7.805,2,,,,,,
2373,1/16/2003,22:31:17,-60.090,-48.76345908,-60.08840,-60.09171,-48.7642314,-48.76264515,21.098284,380.159988,20.235717,-65.239715,-74.56767001,8.566343812,310.7819,-3316,NaN,-4.663,NaN,NaN,3.548,0,-8.210,1,,,,,,
2374,1/16/2003,22:31:38,-60.091,-48.76297683,-60.09079,-60.09126,-48.76308951,-48.76286248,31.323788,52.726662,7.782186,-66.515489,-74.56767001,6.385841,303.01784,-3316,NaN,-4.156,NaN,1,3.548,0,-7.703,3,,,,,,
2376,1/16/2003,22:32:16,-60.093,-48.76213487,-60.09273,-60.09287,-48.76216662,-48.76208744,30.919359,15.462885,1.27661,-67.810266,-74.56767001,4.739585923,303.01784,-3316,NaN,-4.156,NaN,1,3.548,0,-7.703,3,,,,,,
2386,1/16/2003,22:33:36,-60.096,-48.76040417,-60.09631,-60.09659,-48.76046231,-48.76032816,38.155055,30.731716,1.462483,-67.427463,-74.56767001,5.176315046,295.7613267,-3316,NaN,-0.507,NaN,1,3.548,0,-4.054,4,,,,,,
2392,1/16/2003,22:43:18,-60.123,-48.75029506,-60.12301,-60.12328,-48.75034939,-48.75023752,25.984628,31.283264,2.763599,-66.053211,-74.56767001,7.103066832,263.1550267,-2216,NaN,-5.575,NaN,1,-2.838,0,-2.737,2,,,,,,
2395,1/16/2003,22:44:30,-60.126,-48.74903248,-60.12623,-60.12659,-48.74909644,-48.74897438,31.712102,39.469469,1.648357,-67.213764,-74.56767001,5.437391462,260.7133267,-2216,NaN,-2.331,NaN,1,1.520,0,-3.852,3,,,,,,
2396,1/16/2003,22:44:37,-60.127,-48.74891354,-60.12659,-60.12686,-48.74897438,-48.74885529,35.498417,30.292057,2.949472,-66.596372,-74.56767001,6.268011735,255.95338,-2216,NaN,-2.331,NaN,1,1.520,0,-3.852,3,,,,,,
2398,1/16/2003,22:44:48,-60.127,-48.74871875,-60.12700,-60.12749,-48.74880189,-48.74859899,32.182003,55.219585,6.109323,-66.779054,-74.56767001,6.009821886,255.95338,-2216,NaN,-2.331,NaN,1,1.520,0,-3.852,3,,,,,,
2400,1/16/2003,22:45:03,-60.128,-48.74844372,-60.12758,-60.12826,-48.74856143,-48.74829796,32.222335,75.561045,6.852818,-65.193393,-74.56767001,8.658201741,255.95338,-2216,NaN,-2.331,NaN,1,1.520,0,-3.852,3,,,,,,
2402,1/16/2003,22:53:24,-60.150,-48.74027492,-60.15038,-60.15056,-48.74030639,-48.74024542,23.584197,21.027942,3.87884,-66.425996,-74.56767001,6.518796158,219.6159133,-1812,NaN,-7.095,NaN,NaN,-1.723,0,-5.372,2,,,,,,
2403,1/16/2003,22:53:27,-60.151,-48.74023223,-60.14993,-60.15128,-48.74045419,-48.74000827,51.887267,147.818428,9.083301,-66.993179,-74.56767001,5.720699044,219.6159133,-1812,NaN,3.142,0.811,0,2.027,0,1.723,5,,,,,,
2405,1/16/2003,22:53:51,-60.152,-48.73986582,-60.15137,-60.15200,-48.73998171,-48.73977078,55.165375,65.478322,3.321219,-66.553342,-74.56767001,6.330424025,214.59534,-1812,NaN,2.331,0.811,0,2.027,0,0.912,6,,,,,,
2406,1/16/2003,22:55:15,-60.155,-48.73869339,-60.15510,-60.15582,-48.73880005,-48.73858499,50.977757,77.1754,8.153933,-66.830066,-74.56767001,5.939643797,210.26064,-1812,NaN,2.027,-0.304,0,NaN,1,2.331,5,,,,,,
2408,1/16/2003,22:56:05,-60.158,-48.73796704,-60.15694,-60.15848,-48.73821801,-48.73774021,58.097977,167.847183,10.756164,-65.571164,-74.56767001,7.936894379,204.70508,-1812,NaN,1.723,-0.304,0,7.703,0,-1.977,6,,,,,,
2409,1/16/2003,22:56:37,-60.159,-48.73752632,-60.15844,-60.15989,-48.73776018,-48.73731116,64.213392,156.506102,6.666944,-65.947062,-74.56767001,7.278817003,198.9712,-1812,NaN,6.892,NaN,1,4.764,0,2.129,7,,,,,,
2413,1/16/2003,22:57:53,-60.163,-48.73645294,-60.16214,-60.16309,-48.73658918,-48.73631864,60.724643,100.4326,4.436461,-67.135171,-74.56767001,5.536686085,194.4032933,-1812,NaN,6.994,NaN,1,4.764,0,2.230,6,,,,,,
2421,1/16/2003,22:59:49,-60.168,-48.73499573,-60.16765,-60.16801,-48.73504185,-48.73493264,67.480923,33.548113,10.756164,-67.380756,-74.56767001,5.23228511,186.50206,-1812,NaN,3.953,NaN,1,5.778,0,-1.825,7,,,,,,
2444,1/16/2003,23:06:23,-60.186,-48.72976106,-60.18549,-60.18576,-48.72981035,-48.7296931,29.791409,30.894568,4.622335,-65.169315,-74.56767001,8.706337548,161.7558267,-1717,NaN,-8.008,-4.460,0,NaN,1,-3.548,2,,,,,,
2453,1/16/2003,23:14:20,-60.207,-48.72087434,-60.20644,-60.20791,-48.72113417,-48.72059786,35.955377,164.518538,27.484788,-65.99314,-74.56767001,7.201998074,136.3100133,-1679,NaN,-1.014,NaN,1,5.676,0,-6.690,3,,,,,,
2455,1/16/2003,23:16:41,-60.213,-48.71889234,-60.21319,-60.21355,-48.71896381,-48.71883946,45.044518,37.229828,5.179955,-68.386264,-74.56767001,4.150884039,128.01098,-1679,NaN,2.129,2.230,0,NaN,1,-0.101,4,,,,,,
2456,1/16/2003,23:17:12,-60.215,-48.7184277,-60.21448,-60.21501,-48.71851315,-48.71834768,44.192498,56.965286,4.250587,-66.472839,-74.56767001,6.448862258,128.01098,-1679,NaN,2.129,2.230,0,NaN,1,-0.101,4,,,,,,
2457,1/16/2003,23:18:04,-60.217,-48.7178019,-60.21667,-60.21752,-48.71791437,-48.7176768,58.005032,90.139866,12.6149,-66.178484,-74.56767001,6.901104455,123.237314,-1679,NaN,4.055,NaN,1,5.879,0,-1.825,6,,,,,,
2458,1/16/2003,23:18:20,-60.218,-48.71757895,-60.21766,-60.21797,-48.71763008,-48.71752796,64.970735,27.846653,1.83423,-64.374555,-74.56767001,10.45469821,123.237314,-1679,NaN,5.980,NaN,1,6.791,0,-0.811,7,,,,,,
2460,1/16/2003,23:19:06,-60.220,-48.71683184,-60.21972,-60.22003,-48.71689118,-48.71676871,34.142658,34.758965,8.339807,-67.556561,-74.56767001,5.024708835,122.4417007,-1679,NaN,-1.723,-2.635,0,NaN,1,0.912,3,,,,,,
2461,1/16/2003,23:26:20,-60.239,-48.70984732,-60.23925,-60.23947,-48.70988271,-48.70980034,22.923343,25.786591,1.27661,-66.518864,-74.56767001,6.380880347,101.71468,-2019,NaN,-7.095,NaN,1,-3.244,0,-3.852,2,,,,,,
2470,1/16/2003,23:30:13,-60.249,-48.70589301,-60.24795,-60.25105,-48.70650884,-48.70520975,45.399425,347.973357,32.875123,-63.574284,-74.56767001,12.57009619,91.37174333,-2019,NaN,0.912,NaN,1,3.750,0,-2.838,4,,,,,,
2480,1/16/2003,23:32:41,-60.256,-48.70326063,-60.25390,-60.25807,-48.70410974,-48.70250886,59.528701,465.486579,53.507093,-64.133186,-74.56767001,11.05219149,83.45678867,-2019,NaN,5.474,NaN,1,7.400,0,-1.926,6,,,,,,
2483,1/16/2003,23:41:41,-60.280,-48.69538902,-60.27977,-60.28022,-48.69547551,-48.69532593,42.929808,47.510577,5.551703,-64.237174,-74.56767001,10.79069956,62.51028667,-3264,NaN,-2.027,-0.608,0,NaN,1,-1.419,4,,,,,,
2484,1/16/2003,23:41:59,-60.281,-48.69513851,-60.28063,-60.28099,-48.69519081,-48.69508532,46.769079,37.085047,2.763599,-67.408126,-74.56767001,5.19941402,62.51028667,-3264,NaN,0.608,-0.608,0,NaN,1,1.216,5,,,,,,
2485,1/16/2003,23:42:40,-60.283,-48.69457754,-60.28247,-60.28284,-48.69461571,-48.69450382,23.814719,41.666001,3.135346,-65.524127,-74.56767001,8.023323456,60.342934,-3264,NaN,-7.602,NaN,1,-8.515,0,0.912,2,,,,,,
2486,1/16/2003,23:42:50,-60.283,-48.6944233,-60.28121,-60.28498,-48.69500899,-48.69370672,52.490437,419.015906,12.429026,-60.028461,-74.56767001,28.43943086,60.342934,-3264,NaN,0.912,0.101,0,4.359,0,-1.318,5,,,,,,
2489,1/16/2003,23:43:41,-60.285,-48.6935254,-60.28520,-60.28560,-48.69360563,-48.69342991,21.096654,46.603721,1.83423,-67.024531,-74.56767001,5.679549656,57.777776,-3264,NaN,-7.197,NaN,NaN,-8.515,0,1.318,1,,,,,,
2490,1/16/2003,23:43:55,-60.286,-48.69325843,-60.28578,-60.28622,-48.69334968,-48.69315708,24.537477,51.151708,1.648357,-67.322472,-74.56767001,5.302977701,57.777776,-3264,NaN,-7.602,NaN,1,-8.515,0,0.912,2,,,,,,
2491,1/16/2003,23:44:39,-60.288,-48.6925132,-60.28757,-60.28838,-48.6926646,-48.69236796,51.605769,86.985878,9.640922,-64.573762,-74.56767001,9.985982506,55.63785867,-3264,NaN,-0.304,NaN,1,5.778,0,-6.082,5,,,,,,
2496,1/16/2003,23:46:08,-60.292,-48.69083843,-60.29186,-60.29209,-48.69087143,-48.69078823,27.143013,26.109849,2.763599,-65.240605,-74.56767001,8.564588491,53.20987533,-3264,NaN,-7.805,-6.386,0,NaN,1,-1.419,2,,,,,,
2498,1/16/2003,23:59:42,-60.329,-48.67599722,-60.32839,-60.32984,-48.6762555,-48.67573376,17.656469,165.468381,8.897428,-66.012014,-74.56767001,7.17076683,26.24142467,-4222,NaN,-7.298,NaN,NaN,-1.622,0,-5.677,1,,,,,,
2500,1/17/2003,0:00:24,-60.331,-48.6753097,-60.33073,-60.33143,-48.67541967,-48.67517838,14.22974,81.52611,2.391851,-66.894055,-74.56767001,5.852770582,26.24142467,-4222,NaN,-1.622,NaN,NaN,-5.778,0,4.156,1,,,,,,
2501,1/17/2003,0:01:53,-60.335,-48.67378065,-60.33473,-60.33570,-48.67396128,-48.6735885,48.167477,105.838031,4.994082,-66.387994,-74.56767001,6.576087768,24.15637667,-4222,NaN,0.912,2.331,0,3.345,0,-1.926,5,,,,,,
2502,1/17/2003,0:02:18,-60.336,-48.67335026,-60.33621,-60.33649,-48.67338902,-48.673301,45.655204,28.072958,1.462483,-65.842484,-74.56767001,7.456218065,24.15637667,-4222,NaN,-1.115,-2.129,0,3.041,0,-1.571,4,,,,,,
2503,1/17/2003,0:02:34,-60.337,-48.67306932,-60.33695,-60.33723,-48.67312635,-48.67303881,47.963356,27.570438,2.020104,-64.513366,-74.56767001,10.12582462,23.29217933,-4222,NaN,-1.216,NaN,1,3.041,0,-4.257,5,,,,,,
2504,1/17/2003,0:03:09,-60.339,-48.67248611,-60.33862,-60.33884,-48.67251683,-48.67244217,40.91665,23.584652,1.27661,-67.469778,-74.56767001,5.126125103,23.29217933,-4222,NaN,-1.115,-2.129,0,NaN,1,1.014,4,,,,,,
2509,1/17/2003,0:27:37,-60.407,-48.64722782,-60.40715,-60.40775,-48.6473858,-48.64701099,16.183395,72.112244,5.551703,-62.959291,-74.56767001,14.48231205,9.1906728,-4074,NaN,-4.764,NaN,NaN,-6.792,0,2.027,1,,,,,,
2510,1/17/2003,0:27:49,-60.408,-48.64687452,-60.40780,-60.40820,-48.6469834,-48.64673356,14.716668,49.566814,3.135346,-62.035205,-74.56767001,17.91622471,9.1906728,-4074,NaN,-4.764,NaN,NaN,-6.792,0,2.027,1,,,,,,
2511,1/17/2003,0:28:15,-60.409,-48.64612901,-60.40834,-60.41000,-48.64664567,-48.64563947,14.932846,195.279536,4.436461,-64.968178,-74.56767001,9.119041684,9.1906728,-4074,NaN,-4.764,NaN,NaN,-6.792,0,2.027,1,,,,,,
2512,1/17/2003,0:28:29,-60.410,-48.64573543,-60.40968,-60.40996,-48.6458185,-48.64566225,28.969301,32.162186,1.83423,-64.644733,-74.56767001,9.824120956,9.1906728,-4074,NaN,-3.244,NaN,1,-3.345,0,0.101,2,,,,,,
2514,1/17/2003,0:47:27,-60.461,-48.62494666,-60.46059,-60.46091,-48.62499433,-48.62486128,24.986358,37.862562,4.436461,-53.346462,-74.56767001,132.4709958,2.496570667,-1605,NaN,-2.332,NaN,1,0.912,0,-3.244,2,,,,,,
2516,1/17/2003,0:49:01,-60.465,-48.62337467,-60.46485,-60.46505,-48.62339929,-48.62332057,15.189359,26.731238,2.391851,-62.512058,-74.56767001,16.05318464,2.112482933,-1605,NaN,-2.230,NaN,NaN,-5.677,0,3.447,1,,,,,,
2517,1/17/2003,0:49:27,-60.466,-48.62297707,-60.46592,-60.46625,-48.6230248,-48.62291242,14.244677,41.988699,2.020104,-63.31647,-74.56767001,13.33889951,2.112482933,-1605,NaN,-2.230,NaN,NaN,-5.677,0,3.447,1,,,,,,
2518,1/17/2003,0:50:09,-60.468,-48.62237106,-60.46766,-60.46819,-48.62247408,-48.62229046,14.10676,65.138011,2.391851,-62.282286,-74.56767001,16.92537894,1.920439067,-1605,NaN,-2.230,NaN,NaN,-5.677,0,3.447,1,,,,,,
2519,1/17/2003,0:50:31,-60.469,-48.62204921,-60.46866,-60.46926,-48.62214659,-48.62194708,14.474907,72.452799,3.692967,-60.810885,-74.56767001,23.75081413,1.920439067,-1605,NaN,-3.447,NaN,NaN,-2.534,0,-0.912,1,,,,,,
2520,1/17/2003,0:50:55,-60.470,-48.62170709,-60.46973,-60.47033,-48.62178311,-48.621603,14.017153,72.860191,2.391851,-62.74303,-74.56767001,15.22172953,1.7146778,-1605,NaN,-3.447,NaN,NaN,-2.534,0,-0.912,1,,,,,,
2522,1/17/2003,1:01:28,-60.498,-48.61261619,-60.49833,-60.49846,-48.6126309,-48.61259501,15.452166,19.268619,4.436461,-60.479636,-74.56767001,25.63323393,0.274348533,-1472,NaN,2.433,NaN,NaN,-1.926,0,4.359,1,,,,,,
2523,1/17/2003,1:01:48,-60.499,-48.61234915,-60.49920,-60.49934,-48.61236305,-48.61233339,16.310409,19.122569,2.949472,-57.079842,-74.56767001,56.07674552,0.178326533,-1472,NaN,2.433,NaN,NaN,-1.926,0,4.359,1,,,,,,
2524,1/17/2003,1:02:09,-60.500,-48.61207206,-60.50022,-60.50029,-48.61207206,-48.61204518,18.499891,10.987847,2.949472,-57.046112,-74.56767001,56.51396794,0.178326533,-1472,NaN,2.433,NaN,NaN,-1.926,0,4.359,1,,,,,,
2539,1/17/2003,8:11:33,-60.762,-48.42287125,-60.76164,-60.76187,-48.42284934,-48.42290862,16.214919,28.172179,7.410439,-62.410411,-74.56767001,16.43334228,141.27572,-2248,NaN,4.974,NaN,NaN,2.538,0,2.436,1,,,,,,
2540,1/17/2003,8:12:06,-60.763,-48.42313865,-60.76243,-60.76307,-48.42304861,-48.42325322,15.425304,74.612343,4.994082,-64.217322,-74.56767001,10.84013775,141.27572,-2248,NaN,4.974,NaN,NaN,2.538,0,2.436,1,,,,,,
2541,1/17/2003,8:14:00,-60.766,-48.42561293,-60.76587,-60.76598,-48.42556451,-48.42571,23.089988,13.224037,3.135346,-47.942615,-74.56767001,459.7328116,147.4622733,-2248,NaN,5.685,NaN,NaN,3.147,0,2.538,2,,,,,,
2545,1/18/2003,7:31:12,-61.641,-47.33244375,-61.64118,-61.64134,-47.33401435,-47.3308664,25.908809,169.405923,29.901145,-61.404274,-74.56767001,20.7176075,43.484224,-1606,NaN,-0.916,NaN,NaN,2.035,0,-2.950,2,,,,,,
2547,1/18/2003,7:32:44,-61.642,-47.32367768,-61.64158,-61.64163,-47.32439251,-47.3229594,17.48607,80.005904,9.455048,-63.09237,-74.56767001,14.04526704,41.89300333,-1606,NaN,0.610,NaN,NaN,1.628,0,-1.017,1,,,,,,
2548,1/18/2003,7:48:56,-61.640,-47.22854445,-61.64009,-61.64005,-47.22971454,-47.22737258,18.996418,127.768774,12.800773,-63.637932,-74.56767001,12.38721858,31.193414,-1240,NaN,0.203,NaN,NaN,-1.526,0,1.729,1,,,,,,
